CitanceNumber,PreTwo,PreOne,CitationSentence,PostOne,PostTwo,PreOne And Citation,Citation And PostOne,CitingArticle,ReferenceArticle,LengthOfDocumentVector
147,-1.7760000000000002,-1.5870000000000002,-2.79,-0.966,-0.9740000000000002,-3.1350000000000007,-3.1500000000000004,Q13-1024.xml,D10-1058.xml,3451
148,-1.888,-1.427,-2.3980000000000006,-1.521,-1.6319999999999997,-2.4890000000000003,-3.0839999999999996,D11-1056.xml,D10-1083.xml,3643
149,-2.473,-2.176,-3.299999999999999,-3.436000000000001,-2.4799999999999995,-3.6980000000000004,-4.728000000000001,D11-1059.xml,D10-1083.xml,3643
150,-3.436000000000001,-2.4799999999999995,-2.0399999999999996,-2.2989999999999995,-2.453,-3.0089999999999995,-2.8640000000000003,D11-1059.xml,D10-1083.xml,3643
151,-2.8899999999999997,-2.0639999999999996,-3.1210000000000004,-2.776,-2.6310000000000002,-3.9560000000000004,-3.854000000000001,D11-1059.xml,D10-1083.xml,3643
152,-1.999,-2.4170000000000003,-2.726,-2.1569999999999996,-1.8489999999999998,-3.489,-3.474,D11-1059.xml,D10-1083.xml,3643
153,-2.013,-2.5799999999999996,-1.5910000000000002,-2.11,-0.3999999999999999,-3.175,-2.7729999999999997,D11-1059.xml,D10-1083.xml,3643
154,-3.5,-3.2089999999999996,-2.61,-0.3380000000000001,-1.4109999999999996,-4.084,-2.5960000000000005,D12-1086.xml,D10-1083.xml,3643
155,-0.6240000000000001,-1.7029999999999998,-1.3860000000000001,-2.089,-1.9070000000000005,-2.4310000000000005,-2.7520000000000002,D12-1125.xml,D10-1083.xml,3643
156,-1.758,-1.8810000000000002,-3.428,-1.9079999999999995,-2.5000000000000004,-3.8610000000000015,-4.123,D12-1127.xml,D10-1083.xml,3643
157,-1.9160000000000004,-2.6410000000000005,-2.890999999999999,-2.27,-2.8709999999999996,-4.077999999999999,-3.7569999999999997,D13-1004.xml,D10-1083.xml,3643
158,-2.0790000000000006,-1.5629999999999997,-2.3960000000000004,-2.5840000000000005,-2.211,-2.826,-3.6239999999999997,N12-1045.xml,D10-1083.xml,3643
